Date,posTop1,negTop1,neuTop1,comTop1,posTop2,negTop2,neuTop2,comTop2,posTop3,negTop3,neuTop3,comTop3,posTop4,negTop4,neuTop4,comTop4,posTop5,negTop5,neuTop5,comTop5,posTop6,negTop6,neuTop6,comTop6,posTop7,negTop7,neuTop7,comTop7,posTop8,negTop8,neuTop8,comTop8,posTop9,negTop9,neuTop9,comTop9,posTop10,negTop10,neuTop10,comTop10,posTop11,negTop11,neuTop11,comTop11,posTop12,negTop12,neuTop12,comTop12,posTop13,negTop13,neuTop13,comTop13,posTop14,negTop14,neuTop14,comTop14,posTop15,negTop15,neuTop15,comTop15,posTop16,negTop16,neuTop16,comTop16,posTop17,negTop17,neuTop17,comTop17,posTop18,negTop18,neuTop18,comTop18,posTop19,negTop19,neuTop19,comTop19,posTop20,negTop20,neuTop20,comTop20,posTop21,negTop21,neuTop21,comTop21,posTop22,negTop22,neuTop22,comTop22,posTop23,negTop23,neuTop23,comTop23,posTop24,negTop24,neuTop24,comTop24,posTop25,negTop25,neuTop25,comTop25
2008/9/5,0.224,0.316,0.46,-0.7385,0,0,1,0,0,0.283,0.717,-0.7845,0,0,1,0,0,0.266,0.734,-0.4404,0,0,1,0,0,0.367,0.633,-0.4404,0,0,1,0,0.093,0.204,0.704,-0.4588,0,0,1,0,0,0.277,0.723,-0.3182,0,0.362,0.638,-0.6249,0.437,0,0.563,0.4767,0,0,1,0,0,0.612,0.388,-0.743,0,0,1,0,0,0.467,0.533,-0.5423,0.256,0.175,0.569,0.1779,0,0.353,0.647,-0.7269,0,0.146,0.854,-0.4404,0.2,0.191,0.609,0.0258,0,0.245,0.755,-0.0772,0.056,0.132,0.812,-0.4215,0.083,0.273,0.645,-0.8926,0.485,0,0.515,0.5719
2008/9/8,0,0.202,0.798,-0.5859,0.135,0.324,0.541,-0.4767,0.185,0.169,0.645,0.0516,0,0.609,0.391,-0.8316,0,0.471,0.529,-0.7845,0,0.388,0.612,-0.5859,0,0.205,0.795,-0.5574,0,0.449,0.551,-0.6908,0,0,1,0,0,0.435,0.565,-0.875,0,0.281,0.719,-0.6486,0.271,0,0.729,0.6908,0,0.237,0.763,-0.4767,0.042,0.146,0.812,-0.6369,0.141,0.184,0.675,-0.1779,0,0,1,0,0,0,1,0,0,0.091,0.909,-0.0516,0,0.524,0.476,-0.5106,0,0.2,0.8,-0.128,0,0,1,0,0.187,0.173,0.64,0.0577,0,0.184,0.816,-0.6705,0,0.494,0.506,-0.5994,0,0,1,0
2008/9/9,0.121,0.303,0.576,-0.6486,0,0,1,0,0,0.521,0.479,-0.8225,0,0,1,0,0.381,0.232,0.387,0.3182,0.22,0,0.78,0.4767,0.279,0,0.721,0.4767,0,0,1,0,0,0.398,0.602,-0.6486,0,0.352,0.648,-0.5859,0.071,0.403,0.526,-0.866,0.133,0.186,0.681,-0.4019,0,0.13,0.87,-0.0516,0,0.167,0.833,-0.296,0,0.37,0.63,-0.6908,0,0.672,0.328,-0.802,0,0.276,0.724,-0.8126,0,0.375,0.625,-0.7184,0.111,0.263,0.627,-0.4854,0,0,1,0,0,0,1,0,0,0,1,0,0,0.205,0.795,-0.4754,0,0,1,0,0,0,1,0
2008/9/10,0,0.286,0.714,-0.5574,0,0.234,0.766,-0.7269,0,0.561,0.439,-0.6597,0,0.219,0.781,-0.4215,0,0.419,0.581,-0.5574,0,0,1,0,0,0.722,0.278,-0.8316,0,0.259,0.741,-0.4215,0,0.138,0.862,-0.4939,0,0,1,0,0,0.5,0.5,-0.7184,0,0.211,0.789,-0.7717,0,0.41,0.59,-0.4168,0,0,1,0,0,0,1,0,0.204,0,0.796,0.3182,0,0,1,0,0,0.316,0.684,-0.5719,0.655,0,0.345,0.5859,0,0.412,0.588,-0.4215,0,0,1,0,0.255,0,0.745,0.34,0,0.474,0.526,-0.6597,0,0.208,0.792,-0.6369,0,0,1,0
2008/9/11,0.117,0.087,0.795,0.2023,0,0.14,0.86,-0.4767,0,0,1,0,0,0.383,0.617,-0.2732,0,0.401,0.599,-0.7717,0.134,0.292,0.574,-0.5106,0,0.535,0.465,-0.7845,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.5,0.5,-0.4588,0.203,0.166,0.631,0.089,0,0.492,0.508,-0.4404,0,0,1,0,0,0,1,0,0.191,0.135,0.674,0.128,0,0,1,0,0,0,1,0,0,0.455,0.545,-0.3612,0.196,0.43,0.374,-0.5423,0,0.158,0.842,-0.128,0,0,1,0,0.213,0.157,0.63,0.1779,0,0,1,0
2008/9/12,0,0,1,0,0,0,1,0,0.05,0.111,0.84,-0.3818,0,0.085,0.915,-0.0516,0,0.444,0.556,-0.6808,0,0.156,0.844,-0.34,0,0.057,0.943,-0.0516,0.247,0,0.753,0.3182,0,0.464,0.536,-0.3818,0,0.273,0.727,-0.4588,0.25,0,0.75,0.6124,0,0.071,0.929,-0.0572,0,0.661,0.339,-0.5994,0,0.278,0.722,-0.4019,0.309,0.278,0.412,0.0772,0,0.183,0.817,-0.7992,0,0.286,0.714,-0.296,0,0.207,0.793,-0.5719,0,0.282,0.718,-0.6249,0,0,1,0,0,0,1,0,0,0,1,0,0.103,0.099,0.798,0.0258,0,0.149,0.851,-0.1027,0.209,0.171,0.62,0.128
2008/9/15,0,0.217,0.783,-0.3612,0.247,0.272,0.481,-0.4767,0,0,1,0,0,0.649,0.351,-0.8126,0,0.271,0.729,-0.3818,0,0.31,0.69,-0.6705,0,0,1,0,0,0.155,0.845,-0.296,0.278,0,0.722,0.4019,0,0.362,0.638,-0.1779,0,0.178,0.822,-0.5994,0,0,1,0,0.247,0,0.753,0.3182,0.389,0,0.611,0.6249,0,0.57,0.43,-0.6486,0.087,0.184,0.729,-0.4215,0.194,0,0.806,0.34,0.135,0,0.865,0.4215,0,0.175,0.825,-0.6705,0,0.167,0.833,-0.4215,0.392,0.203,0.405,0.4215,0,0.471,0.529,-0.7906,0.078,0.62,0.301,-0.875,0,0,1,0,0,0.157,0.843,-0.3818
2008/9/16,0.094,0.094,0.812,0,0,0,1,0,0,0.278,0.722,-0.886,0,0.338,0.662,-0.5574,0,0.508,0.492,-0.7351,0,0.17,0.83,-0.6705,0,0.138,0.862,-0.34,0,0.727,0.273,-0.8402,0,0.35,0.65,-0.6486,0.512,0,0.488,0.6369,0,0.526,0.474,-0.875,0.085,0.099,0.816,-0.1027,0.172,0.231,0.597,-0.5574,0,0.279,0.721,-0.4767,0,0,1,0,0.141,0,0.859,0.3182,0.207,0.26,0.533,-0.2023,0,0.255,0.745,-0.34,0,0.375,0.625,-0.8316,0,0,1,0,0,0.265,0.735,-0.5574,0,0.385,0.615,-0.3612,0.099,0.248,0.652,-0.5859,0,0,1,0,0,0.239,0.761,-0.296
2008/9/17,0,0.552,0.448,-0.8126,0,0.2,0.8,-0.128,0,0.322,0.678,-0.2263,0,0,1,0,0,0.231,0.769,-0.2732,0.328,0,0.672,0.5994,0,0,1,0,0.119,0.265,0.615,-0.4215,0,0,1,0,0,0.194,0.806,-0.34,0,0.298,0.702,-0.5267,0,0.633,0.367,-0.7096,0,0,1,0,0,0,1,0,0.359,0,0.641,0.4215,0,0,1,0,0,0,1,0,0,0,1,0,0,0.439,0.561,-0.6908,0,0,1,0,0.094,0.304,0.603,-0.6289,0,0,1,0,0,0.429,0.571,-0.6705,0,0.559,0.441,-0.8225,0,0.333,0.667,-0.5423
2008/9/18,0,0.674,0.326,-0.7351,0,0,1,0,0,0.449,0.551,-0.5719,0,0.415,0.585,-0.6887,0,0.158,0.842,-0.128,0.182,0,0.818,0.197,0,0.394,0.606,-0.3818,0,0.58,0.42,-0.8074,0,0.484,0.516,-0.8176,0.297,0,0.703,0.8519,0,0.368,0.632,-0.7906,0,0.462,0.538,-0.7184,0,0,1,0,0,0.457,0.543,-0.7096,0,0,1,0,0,0.389,0.611,-0.7906,0,0.476,0.524,-0.8957,0,0,1,0,0,0.157,0.843,-0.0772,0,0,1,0,0,0,1,0,0,0.295,0.705,-0.802,0,0.202,0.798,-0.5106,0,0,1,0,0,0,1,0
2008/9/19,0,0.31,0.69,-0.5574,0,0.62,0.38,-0.886,0,0,1,0,0,0.214,0.786,-0.4588,0,0.4,0.6,-0.4588,0,0.265,0.735,-0.5574,0.228,0.154,0.617,0.296,0,0.213,0.787,-0.4019,0,0,1,0,0.278,0,0.722,0.4019,0,0.078,0.922,-0.0258,0,0.196,0.804,-0.296,0,0.412,0.588,-0.5423,0.19,0.265,0.544,-0.2732,0,0,1,0,0,0.318,0.682,-0.6808,0,0,1,0,0.132,0.538,0.33,-0.8126,0,0.18,0.82,-0.296,0,0,1,0,0,0.579,0.421,-0.6705,0,0.217,0.783,-0.3612,0,0,1,0,0,0,1,0,0,0.561,0.439,-0.7506
2008/9/22,0,0,1,0,0,0.256,0.744,-0.5423,0.115,0.129,0.755,-0.1027,0.06,0,0.94,0.1027,0,0.205,0.795,-0.5574,0,0.32,0.68,-0.5106,0,0.206,0.794,-0.6908,0,0,1,0,0,0.099,0.901,-0.296,0,0.202,0.798,-0.5106,0.255,0.234,0.511,0.0772,0,0.324,0.676,-0.34,0,0,1,0,0,0.255,0.745,-0.34,0,0.103,0.897,-0.34,0.391,0,0.609,0.8402,0,0,1,0,0,0.35,0.65,-0.5,0,0.412,0.588,-0.743,0.168,0.271,0.561,-0.2732,0.164,0.368,0.468,-0.5423,0,0.324,0.676,-0.34,0,0.182,0.818,-0.4404,0.286,0,0.714,0.34,0,0.379,0.621,-0.7269
2008/9/23,0,0.218,0.782,-0.7506,0,0,1,0,0,0.528,0.472,-0.7717,0,0,1,0,0.398,0.139,0.463,0.4215,0,0,1,0,0.194,0,0.806,0.0516,0.118,0,0.882,0.0516,0,0.316,0.684,-0.5719,0,0.223,0.777,-0.3182,0,0,1,0,0.103,0,0.897,0.1531,0.38,0.22,0.4,0.1531,0.211,0.366,0.423,-0.296,0,0.196,0.804,-0.5606,0,0.441,0.559,-0.7964,0.146,0.124,0.73,0.0772,0.202,0.053,0.745,0.6369,0,0,1,0,0,0.606,0.394,-0.8271,0,0.31,0.69,-0.4019,0.175,0.225,0.6,-0.25,0,0,1,0,0,0,1,0,0,0.358,0.642,-0.5994
2008/9/24,0,0.348,0.652,-0.4939,0,0,1,0,0,0,1,0,0,0.175,0.825,-0.6486,0,0.454,0.546,-0.9674,0,0,1,0,0,0.453,0.547,-0.7003,0.227,0.269,0.504,-0.128,0,0.268,0.732,-0.5106,0,0.39,0.61,-0.4939,0,0.518,0.482,-0.5106,0,0.439,0.561,-0.5719,0,0.307,0.693,-0.4767,0,0,1,0,0,0.587,0.413,-0.7964,0,0.333,0.667,-0.3612,0,0.219,0.781,-0.4215,0,0.109,0.891,-0.296,0.247,0,0.753,0.3182,0,0,1,0,0.158,0.04,0.802,0.6249,0,0,1,0,0,0.277,0.723,-0.3182,0,0,1,0,0,0.358,0.642,-0.5994
2008/9/25,0,0,1,0,0,0,1,0,0.086,0.319,0.595,-0.7256,0,0.588,0.412,-0.6908,0,0.255,0.745,-0.34,0,0,1,0,0,0.123,0.877,-0.1027,0,0,1,0,0,0.492,0.508,-0.7003,0,0,1,0,0,0.595,0.405,-0.6597,0,0,1,0,0,0.314,0.686,-0.4939,0,0,1,0,0,0,1,0,0,0.195,0.805,-0.4404,0,0.419,0.581,-0.5574,0,0.524,0.476,-0.6597,0,0,1,0,0,0.24,0.76,-0.6249,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2008/9/26,0.094,0,0.906,0.34,0.101,0,0.899,0.2023,0,0.146,0.854,-0.0516,0,0,1,0,0,0,1,0,0,0.106,0.894,-0.2263,0,0.636,0.364,-0.5423,0,0,1,0,0,0.326,0.674,-0.4404,0.241,0.345,0.414,-0.128,0,0.206,0.794,-0.3818,0,0.333,0.667,-0.6705,0,0.495,0.505,-0.5994,0,0,1,0,0,0.292,0.708,-0.5095,0,0.324,0.676,-0.34,0,0.275,0.725,-0.2263,0,0.375,0.625,-0.5574,0,0,1,0,0,0.771,0.229,-0.8779,0,0,1,0,0,0.327,0.673,-0.8481,0,0,1,0,0,0.231,0.769,-0.4019,0,0,1,0
2008/9/29,0,0,1,0,0,0.217,0.783,-0.5719,0,0.289,0.711,-0.7269,0.118,0.215,0.667,-0.2263,0.088,0.292,0.619,-0.6808,0,0.188,0.813,-0.4588,0,0.455,0.545,-0.9349,0,0.49,0.51,-0.926,0,0,1,0,0.32,0,0.68,0.5106,0.251,0.068,0.68,0.7351,0,0,1,0,0.333,0,0.667,0.3612,0,0.167,0.833,-0.0516,0,0,1,0,0.135,0.288,0.577,-0.5267,0,0,1,0,0,0,1,0,0.189,0,0.811,0.2732,0,0,1,0,0.239,0.164,0.597,0.25,0.318,0,0.682,0.4215,0.119,0.246,0.635,-0.3818,0,0,1,0,0,0,1,0
